Buddy	18:2 3/3/2016	148
Tim	18:2 3/3/2016	115
Buddy	18:4 3/3/2016	160
Tim	18:4 3/3/2016	157
Buddy	18:4 3/3/2016	104
Tim	18:4 3/3/2016	127
wefdewfwef	10:52 4/4/2016	136
George	10:52 4/4/2016	136
wefdewfwef	10:52 4/4/2016	144
George	10:53 4/4/2016	142
George	16:20 4/8/2016	134
George	16:42 4/8/2016	83
wefdewfwef	16:42 4/8/2016	122
George	17:51 4/8/2016	152
wefdewfwef	17:51 4/8/2016	136
George	18:37 4/8/2016	168
wefdewfwef	18:37 4/8/2016	121
George	18:37 4/8/2016	178
wefdewfwef	18:37 4/8/2016	147
George	18:45 4/8/2016	106
wefdewfwef	18:45 4/8/2016	141
George	18:45 4/8/2016	101
wefdewfwef	18:45 4/8/2016	119
George	19:11 4/8/2016	0
wefdewfwef	19:11 4/8/2016	0
